julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
104,0.177083333333333,0.87,0,0.751,7.65,5.55166666666667,8.8,28.90356625,-25.5134055174625
104,0.1875,1.57,0,0.749,7.8,5.72833333333333,8.8,28.90550575,-25.5134055174625
104,0.197916666666667,1.59,0,0.755,7.57,5.68833333333333,8.8,28.90356625,-25.5044819970695
104,0.208333333333333,1.34,0,0.766,7.11,5.56833333333333,8.8,28.900657,-25.4649020954921
104,0.21875,1.48,0,0.77,6.81,5.48333333333333,8.8,28.900657,-25.4731614232333
104,0.229166666666667,1.53,0,0.772,6.7,5.5,8.8,28.9064755,-25.4646861743828
104,0.239583333333333,1.48,0,0.773,6.73,5.47166666666667,8.8,28.900657,-25.4618623921819
104,0.25,0.96,0,0.772,6.44,5.24,8.8,28.900657,-25.4618623921819
104,0.260416666666667,1.26,0.5,0.767,6.48,5.21333333333333,8.8,28.89968725,-25.4675106068586
104,0.270833333333333,1.21,5.3,0.772,6.37,5,8.8,28.9025965,-25.4646861743828
104,0.28125,1.4,17.5,0.77,6.2,5.205,8.8,28.904536,-25.4590392601059
104,0.291666666666667,1.21,32.7,0.774,6.29,5.57666666666667,8.8,28.9025965,-25.4590392601059
104,0.302083333333333,1.1,45.3,0.778,6.47,6.255,8.8,28.900657,-25.4646861743828
104,0.3125,1.38,66.2,0.795,6.7,6.89666666666667,8.8,28.904536,-25.4646861743828
104,0.322916666666667,1.44,81.7,0.793,6.91,7.47666666666667,8.8,28.8987175,-25.4438512378875
104,0.333333333333333,1.69,105.5,0.797,7.47,8.19,8.8,28.90356625,-25.4438512378875
104,0.34375,1.68,112.1,0.809,7.85,8.61333333333333,8.8,28.90162675,-25.428680691464
104,0.354166666666667,1.45,127,0.831,8.18,9.24,8.8,28.90162675,-25.4197948795116
104,0.364583333333333,1.2,160.7,0.843,8.8,10.2783333333333,8.8,28.89968725,-25.4104990754946
104,0.375,1.39,232.5,0.848,9.39,11.82,8.8,28.90356625,-25.4102943796011
104,0.385416666666667,1.9,293.1,0.855,10.08,13.3566666666667,8.8,28.9025965,-25.4018269331496
104,0.395833333333333,1.95,314.3,0.828,10.83,14.49,8.8,28.9025965,-25.4102943796011
104,0.40625,2.2,288.9,0.818,11.05,14.525,8.8,28.9064755,-25.4046487654246
104,0.416666666666667,2.96,340,0.808,11.65,15.5533333333333,8.8,28.896778,-25.4016216345581
104,0.427083333333333,3.91,335.8,0.785,11.93,15.585,8.8,28.90356625,-25.4074712475252
104,0.4375,3.48,381.7,0.78,12.11,16.6383333333333,8.8,28.90550575,-25.398595200634
104,0.447916666666667,3.55,405.2,0.787,12.51,17.5566666666667,8.8,28.9064755,-25.3810565309657
